OTU ID	type	domain	phylum	class	order	family	genus	species
ASV008533	Mammalia	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Streptomycetales	f__Streptomycetaceae	g__Streptomyces	s__Streptomyces albus
ASV008538	Mammalia	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Streptomycetales	f__Streptomycetaceae	g__Streptomyces	s__Streptomyces cattleya NRRL 8057 = DSM 46488
ASV008544	Mammalia	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Streptomycetales	f__Streptomycetaceae	g__Streptomyces	s__Streptomyces clavuligerus ATCC 27064
ASV008552	Mammalia	d__Bacteria	p__Firmicutes	c__Bacilli	o__Paenibacillales	f__Paenibacillaceae	g__Paenibacillus	s__Paenibacillus larvae
ASV008554	Mammalia	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Streptomycetales	f__Streptomycetaceae	g__Streptomyces	s__Streptomyces hygroscopicus
ASV008556	Mammalia	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__Koribacteraceae	g__Candidatus Koribacter	s__uncultured bacterium
ASV008571	Mammalia	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Azospirillales	f__Azospirillaceae	g__Azospirillum	s__Azospirillum brasilense
ASV008574	Mammalia	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Brevundimonas	s__Brevundimonas vesicularis
ASV008577	Mammalia	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Arcobacteraceae	g__Arcobacter	s__Arcobacter cryaerophilus
ASV008580	Mammalia	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Micrococcales	f__Intrasporangiaceae	g__Janibacter	s__Janibacter melonis
ASV008582	Mammalia	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Micrococcales	f__Intrasporangiaceae	g__Janibacter	s__Janibacter indicus
ASV008587	Mammalia	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Brucella	s__Brucella melitensis
ASV008595	Mammalia	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Acetobacterales	f__Acetobacteraceae	g__Granulibacter	s__Granulibacter bethesdensis
ASV008602	Mammalia	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Streptomycetales	f__Streptomycetaceae	g__Streptomyces	s__Streptomyces albus
ASV008603	Mammalia	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__SC-I-84	g__norank	s__uncultured Burkholderiales bacterium
ASV008606	Plant	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	s__Agrobacterium radiobacter
ASV008608	Plant	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	s__Agrobacterium radiobacter
ASV008619	Mammalia	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Weeksellaceae	g__Chryseobacterium	s__Chryseobacterium indologenes
ASV008626	Mammalia	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Stappiaceae	g__Pannonibacter	s__Pannonibacter phragmitetus
ASV008629	Mammalia	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Pseudonocardiales	f__Pseudonocardiaceae	g__Saccharopolyspora	s__Saccharopolyspora rectivirgula
ASV008642	Mammalia	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Streptomycetales	f__Streptomycetaceae	g__Streptomyces	s__Streptomyces pratensis
ASV008644	Mammalia	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__TRA3-20	g__norank	s__uncultured Burkholderiales bacterium
ASV008646	Plant	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__norank	s__Xanthomonas citri pv. mangiferaeindicae
ASV008650	Mammalia	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Chthoniobacterales	f__Xiphinematobacteraceae	g__Candidatus Xiphinematobacter	s__uncultured bacterium
ASV008657	Mammalia	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Stappiaceae	g__Pannonibacter	s__Pannonibacter phragmitetus
ASV008659	Mammalia	d__Bacteria	p__Verrucomicrobiota	c__Chlamydiae	o__Chlamydiales	f__cvE6	g__norank	s__uncultured Chlamydia sp.
ASV008673	Mammalia	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Brevundimonas	s__Brevundimonas vesicularis
ASV008674	Mammalia	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Pseudonocardiales	f__Pseudonocardiaceae	g__Saccharopolyspora	s__Saccharopolyspora rectivirgula
ASV008682	Mammalia	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Streptomycetales	f__Streptomycetaceae	g__Streptomyces	s__Streptomyces cattleya NRRL 8057 = DSM 46488
ASV008687	Multi	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Burkholderia-Caballeronia-Paraburkholderia	s__Burkholderia cenocepacia
ASV008690	Mammalia	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__Koribacteraceae	g__Candidatus Koribacter	s__uncultured bacterium
ASV008691	Mammalia	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Flavobacteriaceae	g__Flavobacterium	s__Flavobacterium psychrophilum
ASV008698	Mammalia	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Azospirillales	f__Azospirillaceae	g__Azospirillum	s__Azospirillum brasilense
ASV008716	Mammalia	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__Koribacteraceae	g__Candidatus Koribacter	s__uncultured bacterium
ASV008717	Mammalia	d__Bacteria	p__Firmicutes	c__Bacilli	o__Paenibacillales	f__Paenibacillaceae	g__Paenibacillus	s__Paenibacillus larvae
ASV008720	Mammalia	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Flavobacteriaceae	g__Flavobacterium	s__Flavobacterium psychrophilum
ASV008729	Mammalia	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__Bacillus licheniformis
ASV008731	Mammalia	d__Bacteria	p__Patescibacteria	c__Saccharimonadia	o__Saccharimonadales	f__LWQ8	g__norank	s__uncultured Candidatus Saccharibacteria bacterium
ASV008735	Mammalia	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Aureimonas	s__Aureimonas altamirensis
ASV008736	Mammalia	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Neisseriaceae	g__Alysiella	s__Alysiella crassa
ASV008754	Mammalia	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Weeksellaceae	g__Elizabethkingia	s__Elizabethkingia miricola
ASV008755	Mammalia	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Flavobacteriaceae	g__Flavobacterium	s__Flavobacterium psychrophilum
ASV008757	Mammalia	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Streptomycetales	f__Streptomycetaceae	g__Streptomyces	s__Streptomyces hygroscopicus
